date,open,high,low,close,volume,oi
2025-03-27,72.83,72.86,70.36,70.82,43696,330741
2025-03-28,70.48,71.66,70.23,71.08,22718,330548
2025-03-31,70.83,71.46,69.36,70.26,35099,330277
2025-04-01,70.26,73.00,69.89,72.14,35632,333401
2025-04-02,72.28,72.63,70.44,70.83,26794,336480
2025-04-03,69.74,69.76,67.91,68.34,49500,336361
2025-04-04,68.34,68.54,64.97,66.10,64730,331383
2025-04-07,64.78,67.52,62.54,65.12,66118,330726
2025-04-08,65.74,65.85,63.12,64.34,44524,329531
2025-04-09,62.93,63.95,62.35,63.22,48549,329497
2025-04-10,65.78,67.54,63.96,64.40,41656,328856
2025-04-11,65.10,67.61,64.06,67.10,37729,328218
2025-04-14,67.50,69.61,67.43,68.79,27992,327744
2025-04-15,68.88,70.23,68.03,68.47,27300,328550
2025-04-16,67.98,69.92,67.80,69.25,26776,327733
2025-04-17,69.46,69.65,67.75,68.17,21339,328126
2025-04-21,68.17,68.17,68.17,68.17,0,0
2025-04-22,67.38,68.22,65.89,66.67,26243,329625
2025-04-23,67.08,69.58,67.08,69.18,32337,328807
2025-04-24,68.80,68.97,67.03,68.59,26372,328740
2025-04-25,68.74,69.91,68.52,68.71,24713,328566
2025-04-28,68.39,68.65,67.00,67.59,23552,328527
2025-04-29,67.23,67.68,66.42,67.13,24939,331622
2025-04-30,67.18,69.18,66.80,68.83,22903,329167
2025-05-01,69.14,69.63,68.52,69.30,9364,328038
2025-05-02,69.35,71.55,69.06,71.04,27728,327584
2025-05-05,70.96,71.01,68.98,69.75,20259,327642
2025-05-06,69.83,71.96,69.73,71.55,27184,328301
2025-05-07,71.93,73.68,71.33,73.34,33172,325047
2025-05-08,73.34,74.04,72.68,73.00,25019,324400
2025-05-09,73.33,73.77,72.10,72.67,20188,323552
2025-05-12,73.08,75.91,72.80,75.69,33930,322318
2025-05-13,75.40,76.10,74.18,75.18,29577,318809
2025-05-14,75.36,75.91,73.83,74.61,21274,318806
2025-05-15,74.38,75.98,73.48,75.69,25382,317478
2025-05-16,75.73,77.30,73.09,73.27,36994,317705
2025-05-19,73.27,74.74,71.88,72.70,34545,316698
2025-05-20,72.04,75.79,72.01,75.46,29194,317798
2025-05-21,75.90,76.15,74.58,75.02,22246,318115
2025-05-22,74.87,75.91,74.03,74.43,25750,318727
2025-05-23,74.78,75.28,72.28,73.84,29768,317448
2025-05-26,74.28,75.65,74.28,75.31,13103,316769
2025-05-27,75.19,75.37,73.08,74.04,24919,318101
2025-05-28,73.48,74.93,73.05,74.35,24162,320932
2025-05-29,75.14,75.76,72.93,73.22,24700,320491
2025-05-30,73.04,73.97,72.41,72.69,19723,317555
2025-06-02,72.29,74.42,72.29,73.19,26299,317426
2025-06-03,73.35,75.14,72.96,74.88,27013,319824
2025-06-04,74.76,75.85,74.50,74.89,22761,320187
2025-06-05,74.89,76.32,74.60,75.02,27691,321194
2025-06-06,75.18,76.23,74.85,75.78,15973,321022
2025-06-09,76.16,77.22,75.52,76.51,21681,320734
2025-06-10,76.51,76.56,74.59,74.94,27510,320699
2025-06-11,75.30,77.23,75.06,76.64,30312,322494
2025-06-12,76.54,78.08,75.60,77.67,36503,324500
2025-06-13,78.28,79.03,77.86,78.22,29640,323965
2025-06-16,78.04,78.75,76.97,77.62,29727,323780
2025-06-17,77.43,77.94,76.44,76.92,25551,325145
2025-06-18,77.13,77.54,76.47,76.89,25811,324035
2025-06-19,76.88,77.31,74.01,75.02,41798,325610
2025-06-20,75.14,75.65,74.36,75.25,22325,324690
2025-06-23,75.13,75.78,74.71,75.55,26599,324446
2025-06-24,75.28,76.85,74.88,75.82,38626,321931
2025-06-25,75.52,75.68,73.24,73.43,31861,322739
2025-06-26,73.36,73.78,72.54,72.68,35120,320370
2025-06-27,72.70,73.42,72.39,73.24,24264,319363
2025-06-30,73.31,73.36,70.99,71.25,27504,319974
2025-07-01,71.39,73.17,71.18,72.86,25719,318476
2025-07-02,72.87,74.57,72.83,74.21,21001,319486
2025-07-03,73.98,75.07,73.34,74.34,22285,318241
2025-07-04,74.60,74.60,73.53,73.95,12909,319160
2025-07-07,73.98,74.27,72.90,73.48,17583,318933
2025-07-08,73.50,73.74,72.56,72.70,20614,319320
2025-07-09,72.73,73.36,72.17,72.67,17800,320154
2025-07-10,72.65,73.83,72.59,73.02,18572,321618
2025-07-11,72.88,73.28,71.92,72.83,21755,321020
2025-07-14,72.38,73.67,71.80,72.70,23617,323301
2025-07-15,72.58,73.93,72.27,73.79,19394,325885
2025-07-16,73.56,74.67,73.12,73.59,18060,326325
2025-07-17,73.44,73.67,72.60,72.83,20011,326066
2025-07-18,72.83,73.31,72.12,72.17,18031,327097
2025-07-21,72.40,72.83,72.00,72.11,20623,328708
2025-07-22,72.19,72.19,71.14,71.39,24527,329710
2025-07-23,71.62,72.27,71.28,71.64,19453,331048
2025-07-24,72.11,73.46,71.51,73.16,30788,332644
2025-07-25,73.39,73.78,72.92,73.62,17457,333078
2025-07-28,73.78,74.53,72.34,72.93,24470,333961
2025-07-29,73.01,75.58,72.68,75.36,32094,335880
2025-07-30,75.46,75.63,74.80,75.14,14923,334621
2025-07-31,74.92,75.35,74.50,74.94,20485,335217
2025-08-01,74.58,74.71,73.28,73.32,27573,335306
2025-08-04,73.28,73.61,72.43,73.13,22021,333839
2025-08-05,73.14,74.02,72.78,73.87,21039,333937
2025-08-06,73.67,73.99,73.03,73.27,17204,335278
2025-08-07,73.01,74.29,72.58,74.05,25382,334273
2025-08-08,74.24,75.63,74.08,75.49,28220,334592
2025-08-11,75.26,75.43,74.28,74.65,18799,332913
2025-08-12,74.57,74.70,73.65,73.78,17885,333519
2025-08-13,73.78,74.43,73.54,74.02,14855,334724
2025-08-14,74.16,74.16,72.85,73.24,27440,331793
2025-08-15,73.30,73.59,72.56,72.96,16547,332925
2025-08-18,73.17,74.27,72.58,74.10,22935,334562
2025-08-19,73.93,74.36,73.31,73.44,22157,335216
